,Departure Date,Buffalo Load,Buffalo Loss,Buffalo Pct,Cattle Load,Cattle Loss,Cattle Pct,Sheep Load,Sheep Loss,Sheep Pct,Duration (days)
404,Feb-15,,,,4036.0,2.0,0.0005,,,,8
405,Feb-15,,,,3880.0,34.0,0.0088,,,,13
406,Mar-15,,,,1903.0,0.0,0.0,,,,13
407,Mar-15,,,,3465.0,1.0,0.0003,,,,11
408,Mar-15,,,,1919.0,1.0,0.0005,,,,8
409,Mar-15,,,,1308.0,1.0,0.0008,,,,17
410,Mar-15,,,,6899.0,1.0,0.0001,,,,8
411,Mar-15,,,,3382.0,1.0,0.0003,,,,8
412,Mar-15,,,,3479.0,1.0,0.0003,,,,6
413,Mar-15,,,,1080.0,1.0,0.0009,,,,17
414,Mar-15,,,,3082.0,2.0,0.0006,,,,7
415,Mar-15,,,,2900.0,2.0,0.0007,,,,9
416,Mar-15,,,,2547.0,0.0,0.0,,,,9
417,Mar-15,,,,,,,77072.0,263.0,0.0034,21
418,Mar-15,,,,2531.0,2.0,0.0008,,,,9
419,Mar-15,,,,6891.0,0.0,0.0,,,,6
420,Mar-15,182.0,0.0,0.0,1289.0,0.0,0.0,,,,9
421,Mar-15,,,,2341.0,0.0,0.0,,,,11
422,Mar-15,,,,2046.0,0.0,0.0,,,,14
423,Mar-15,,,,3914.0,1.0,0.0003,,,,9
424,Mar-15,,,,4200.0,0.0,0.0,,,,7
425,Mar-15,,,,2200.0,3.0,0.0014,,,,18
426,Mar-15,,,,7050.0,2.0,0.0003,,,,10
427,Mar-15,,,,1290.0,0.0,0.0,,,,10
